FIRE_NAME,acres_geom,sev1_acres,sev2_acres,sev3_acres,sev4_acres,sev5_acres,sev6_acres,burned_acres
INDIA,959.2788630585692,91.18188576138401,419.8814641890073,577.1146184165646,4.892686553049874,0.0,5.337476239690771,1093.0706549200058
1-12,946.5895000386121,89.62512185814086,700.5437564594137,224.61879175365328,37.584728521155846,0.0,0.0,1052.3723985923637
5-4 POTTERS ,925.4132765560254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMS,901.6726000197742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BITTER,895.4063672998099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHOTGUN,840.8520986879353,390.3029500273876,414.54398794931654,176.13671590979544,14.233269972508722,0.0,0.0,995.2169238590084
CREEK,834.247857675516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIME,802.5516252870062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTTONWOOD,788.0771725048219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY,740.1132285599177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELK,730.4835322582757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JONES,705.5509063947571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRUM,695.4709946170542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMORUSO,685.5799506944085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULLFROG,654.642850376892,160.79147172068448,392.74929330391257,88.06835795489772,66.05126846617328,0.0,0.0,707.6603914456681
ROWHER,648.1806114806622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIMMER,593.8667955509233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-2 TRUMBULL,576.6595402975906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITES,569.514485727004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE,567.0046229896757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-8 PINECODE,566.4993316196548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLEMAN,562.9203862503051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BADGER,557.3043570035079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAVE PAWS,532.7778290898893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOG,527.4906260779736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEISS,509.1478857376204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-5 SNOWSTORM,471.720940265093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVILA,434.2900026180685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SODA,421.4691969480534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOBO,413.5285338852318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENSLEY,398.48313731781633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALLEY,376.91377353998996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK,342.51989550448735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLATINA,339.46619254824253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RICO,338.13977622171734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STUMP,325.4144636653396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASS,323.1767354233641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHALE,322.33746337379426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDGE,320.839302623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIZABETH,298.9598182865544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHNSON,291.9489069077564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-8,278.0100446904856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POINT,276.6588289219998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W-4 TERMO,265.58370120129325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEND,264.3083942213509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-6 CASCADE CREEK,260.17658432428544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-1 MAPES,258.9576346775195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURORA,238.28559755729592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTINDALE,233.34521948535516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEEP,233.05673695259398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRADLEY,230.35479581640698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
